Product,Price,Description
Souvenir Mangkok Set Keramik Handpainted Japanese hampers gift,Rp29.999,"Mangkuk Jepang Set dengan sumpit bambu / Japanese Bowl Set 
📢📢Perlu Diperhatikan!! 
- Semua Varian sudah termasuk gift box dan sumpit
- untuk set 2 mangkok, motif random diambil dr varian set 4  jenis produk yg dipilih ( tidak bisa pilih motif )
- untuk sakura mix set 2, warna random tidak bisa pilih
➡️ Gratis Kartu Ucapan dalam Bentuk Sticker print, mohon ucapan ditulis langsung di note / catatan produk.
jika tidak ditulis, maka akan dikirim tanpa sticker ucapan 
▶️▶️untuk mangkok set 6, link ada di produk sebelah
Semua mangkuk keramik adalah handmade dan hand painted sehingga titik kecil, titik hitam dll adalah hal yg normal terjadi ketika proses produksi.  Hal ini tidak akan mempengaruhi kualitas mangkok
mangkuk juga sudah didesign anti slip, bagian paling bawah sengaja tidak diglaze
Glaze Artistik Ceramic terbuat dari tanah liat langsung yang harus di tempa dan dipanaskan disuhu 1300 derajat, keramik lebih kokoh, licin dan gambar juga anti luntur
sangat cocok untuk membuat sesi makan anda menjadi menyenangkan, cocok juga dijadikan hadiah, kado dan souvernir 
cara merawat mangkok keramik :
jika terdapat goresan maka gosok dengan odol gigi
jika terdapat noda, maka cuci dengan sabun cuci piring
untuk pembelian banyak set mohon chat terlebih dahulu agar ongkos kirim tidak terlalu mahal
VARIAN 1 SET :
-isi 2 pcs 
-isi 4 pcs
-isi 6 pcs ( ada di produk sebelah toko ini )
ukuran: 11.5 x 6 cm
bahan keramik
GIFT BOX SESUAI GAMBAR 
PACKING AMAN
kami berusaha menjaga kualitas produk barang kami, Semua Produk sudah melewati QC yg ketat dan juga packing kami sudah free dengan bubble wrap TEBAL dan dilakban fragile
MOHON LAKUKAN VIDEO UNBOXING
menerima grosir, reseller dan dropship
#mangkok #mangkokayam #mangkoksaji #mangkoksoto #mangkokmakan #bestseller #mangkuk #mangkokjepang #mangkoksup #mangkoknasi #mangkokkeramik #mangkokkukuruyuk  #mangkokporselen #mangkokporcelain #giftset #kadoset #piringkeramik #piringporselen"
Souvenir Mangkok Set Mangkok Keramik Handpainted Japanese hampers gift,Rp27.999,"Mangkuk Jepang Set dengan sumpit bambu / Japanese Bowl Set 
📢📢Perlu Diperhatikan!! 
- Semua Varian sudah termasuk gift box dan sumpit
- untuk motif set 2 mangkok, motif random (sesuai varian ) diambil dari set 4 ( tidak bisa pilih motif )
- untuk sakura mix set 2, warna random tidak bisa pilih
➡️ Gratis Kartu Ucapan dalam Bentuk Sticker print, mohon ucapan ditulis langsung di note / catatan produk.
jika tidak ditulis, maka akan dikirim tanpa sticker ucapan 
➡️khusus free kartu ucapan christmas, selama persediaan masih ada*
▶️▶️untuk mangkok set 6, link ada di produk sebelah
Semua mangkuk keramik adalah handmade dan hand painted sehingga titik kecil, titik hitam dll adalah hal yg normal terjadi ketika proses produksi.  Hal ini tidak akan mempengaruhi kualitas mangkok
mangkuk juga sudah didesign anti slip, bagian paling bawah sengaja tidak diglaze
Glaze Artistik Ceramic terbuat dari tanah liat langsung yang harus di tempa dan dipanaskan disuhu 1300 derajat, keramik lebih kokoh, licin dan gambar juga anti luntur
cocok dijadikan hadiah, kado dan souvernir 
cara merawat mangkok keramik :
jika terdapat goresan maka gosok dengan odol gigi
jika terdapat noda, maka cuci dengan sabun cuci piring
untuk pembelian banyak set mohon chat terlebih dahulu agar ongkos kirim tidak terlalu mahal
VARIAN 1 SET :
-isi 2 pcs 
-isi 4 pcs
-isi 6 pcs ( ada di produk sebelah toko ini )
ukuran: 11.5 x 6 cm
bahan keramik
GIFT BOX SESUAI GAMBAR 
PACKING AMAN
kami berusaha menjaga kualitas produk barang kami, Semua Produk sudah melewati QC yg ketat dan juga packing kami sudah free dengan bubble wrap TEBAL dan dilakban fragile
MOHON LAKUKAN VIDEO UNBOXING
menerima grosir, reseller dan dropship
#mangkok #mangkokayam #mangkoksaji #mangkoksoto #mangkokmakan #bestseller #mangkuk #mangkokjepang #mangkoksup #mangkoknasi #mangkokkeramik #mangkokkukuruyuk  #mangkokporselen #mangkokporcelain #giftset #kadoset #piringkeramik #piringporselen #piringmakan"
MUKENA TAZBIYA SPECIAL GIFT EXCLUSIVE 2IN1 / KADO / HAMPERS,Rp209.000,"Assalamu’alaikum Ukhti 
Dapatkan Paket Exclusive Gift Mukena Tazbiya. Paket ini cocok untuk Ukhti berikan kepada orang spesial sebagai hadiah. 
Exclusive Gift Mukena Tazbiya terdiri dari
a. 1 Set Mukena 
b. 1 Pcs Tasbih
c. 1 Pcs Greeting Card
d. Packaging Box  Exclusive 
e. Pita Satin dengan warna Elegant
Mukena Tazbiya: Indah Dalam Beribadah
Kira-kira Ukhti berjodoh pilih yang mana nih? 
BISA CUSTOM TULISAN!
SIlakan tulis kata-kata yang ingin ukhti berikan di kolom pesan untuk diberikan langsung kepada orang tersayang ya!
Atasan Mukena
Panjang Depan: 124 cm
Panjang Belakang: 144 cm
Lingkar Wajah: 49 cm
Detail Kepala: tali/karet
Rok Mukena 
Panjang Rok: 117 cm
Lingkar Rok: 60 cm
All Size, Fit to XL 
*JIka stock kosong akan dikirim paket dengan mukena yang tersedia"
26x17x8 Premium Goodie Bag Hampers / Paper Bag Motif / Tas Kado Gift,Rp9.800,"Spesifikasi :
📝 Ukuran: 26.5 x 17.5 x 8 cm
📝 Tipe : Goodie Bag / Paper Bag Motif dengan Perekat Velcro
Motif : 
1. Red Flower
2. Black Flower
3. Pink Sakura
4. Blue Sakura
5. Red Lucky Cat
6. Blue Happy Day
7. Cherry Bear
8. Cherry Bunny
9. Strawberry Party
10. Tosca Flower Bear
11. Blue Flower Happy Lucky
12. Blue Flower Good Luck
13. Pink Season
14. Green Season
15. Blue Best Wishes
16. Red Best Wishes
17. Black Polkadot
18. Blue Polkadot
19. Bunny Lemon
20. Bunny Strawberry
21. Brown Plaid
22. Purple Plaid
23. Tosca Argyle
24. Grey Nice
Paper Bag yang dilengkapi dengan
* Pita Cantik sebagai hiasan
* Menggunakan Velcro, sehingga bag bisa tertutup sempurna
* Bahan karton tebal, tidak mudah robek
* Desain kreatif dan cantik sesuai dengan kebutuhan
* Motif tidak pasaran dan terlihat mewah
Multi fungsi sebagai:
* Goodie Bag
* Kantong Kado
* Kantong Souvenir
* Kantong Kue / Cookies
* Kantong Aksesoris
* Bisa dibawa untuk belanja dan jalan
* Dropshipper & Reseller welcome
~ happy shopping ~"
souvenir hampers kado pernikahan wedding gift,Rp49.900,"jika ingin dijadikan gift dan ingin pakai kartu ucapan mohon tulis d catatan untuk penjual ya kak :)
ready stock Kado pernikahan premium
PENTING= karena ini utuk dijadikan souvenir, kado atau hampers, kami pastikan box tidak bonyok dan tidak gompal. sehingga tidak perlu worry :). packing kami usahakan sebaik mungkin . extra bubble wrap dan kardus d luar.
GARANSI PECAH=. jika ada yang pecah silahkan contact kami , akan kami proses ganti yang baru
setiap pembelian free kartu ucapan happy wedding
jika ingin req kata2 untuk ditulis d kartu mohon tulis di catatan untuk penjual saat cek out .
varian set set A
soap dispenser set isi 
- Pump Sabun (kapasitas sekitar 380 ml) bahan keramik
- Piring Sabun Batang bahan keramik
- Cup Marble bahan keramik
- free gift box + pita
Varian set B
mangkok set isi 2 motif Rose, ukuran mangkok tinggi 5,5 cm, diameter 11 cm . bahan keramik 
Varian set D
Mug couple
Terdiri dari:
- 1 mug Mr. +sendok
- 1 mug Mrs. + sendok
Include box (gift box)
varian set E 
gelas kristal couple . bahan kaca, kemasan hardbox
varian set G
mangkok set isi 1 mangkok dan 1 pasang sumpt, ukuran mangkok tinggi 5,5 cm, diameter 11 cm . bahan keramik 
varian mug Wedding A
include 2 mug bahan mug keramik, 2 sendok stainless steel,
diameter mug 7 cm
ukuran box 25 x 11 x 14 cm
- varian mug wedding B
terdiri dari 2 mug dengan tutup dan 2 sendok
bahan mug adalah keramik 
tinggi mug 12 cm
diameter atas mug 8 cm
ukuran box 28 cm x 20.5 cm x 10.5 cm
 
varian mug Wedding E
include 2 mug bahan mug keramik dengan tutup, 2 sendok stainless steel,
diameter mug 7 cm, tinggi 8.5 cm
ukuran box 28 cm x 20.5 cm x 10.5 cm
varian set H
soap dispenser set isi 
- Pump Sabun (kapasitas sekitar 380 ml) bahan keramik
- Piring Sabun Batang bahan keramik
- Cup Marble bahan keramik
- free gift box + pita"
Hadiah Kelahiran Bayi | Baby Newborn Gift Set |Hampers Newborn,Rp178.000,"Baby Gift Set Box (Brown / Pink)
• Handuk bayi karakter 50x100cm
• Kaos kaki bayi up to 12 months
• Mangkok silikon bayi BPA Free
• Kartu ucapan (template / custom bisa info di notes)
• Hangtag to & from (tulis di notes)
• Kotak kraft eksklusif 
Free packing bubblewrap dan box lagi agar aman hingga tujuan."
souvenir mug couple hampers kado pernikahan wedding gift,Rp85.500,"ready stock, bisa langsung kirim
hampers mug couple set
*****************************
(INFO PENGIRIMAN)
pengiriman sudah include bubble wrap. 
garansi pecah (mohon kirim video unboxing), jika pecah kami ganti baru
******************************
 (INFO UCAPAN)
jika ingin request kata2 untuk kami tuliskan pada kartu ucapan mohon cantumkan pada catatan untuk penjual (mohon jangan via chat) untuk menghindari kekeliruan, . 
Jika tidak ada catatan pada kolom ucapan, maka akan kami kirimkan kartu ucapan kosong 
*****************************
(DESKRIPSI PRODUK)
-varian mug Wedding A
include 2 mug bahan mug keramik, 2 sendok stainless steel,
diameter mug 7 cm
ukuran box 25 x 11 x 14 cm
- varian mug wedding B
terdiri dari 2 mug dengan tutup dan 2 sendok
bahan mug adalah keramik 
tinggi mug 12 cm
diameter atas mug 8 cm
ukuran box 28 cm x 20.5 cm x 10.5 cm
 
-varian mug wedding C
terdiri dari 2 mug dan 2 sendok teh.
diameter mug  8 cm, tinggi 10.5 cm
bahan mug keramik
-varian mug wedding D
terdiri dari 2 mug dan 2 sendok teh.
diameter mug  8 cm, tinggi 10.5 cm
bahan mug keramik
-varian mug Wedding E
include 2 mug bahan mug keramik dengan tutup, 2 sendok stainless steel,
diameter mug 7 cm, tinggi 8.5 cm
ukuran box 28 cm x 20.5 cm x 10.5 cm
**************************************
jika ada info lain nya yang diperlukan bisa chat admin ya kk :)
 
HAPPY SHOPPING"
HAMPERS KADO CEWE GIFT BOX HADIAH ULANG TAHUN ANNIV SEMPRO WISUDA,Rp50.000,"HAMPERS CEWEK KADO ULTAH ULANG CEWE GIFT BOX LEBARAN IDUL FITRI HADIAH ANNIVERSARY PERNIKAHAN PAKET SIDING SEMINAR PROPOSAL SEMPRO WISUDA GRADUATION ✨
❗ Untuk isian hampers silahkan cek variasi
✔ FREE request greeting card, silahkan tulis di notes/ chat admin untuk tulisannya
✔ selalu ada FREEBIES, shredded paper dan pita dalam setiap box
✔ FREE bubble wrap lapis 2 namun kamu bisa tambahkan EXTRA BUBBLEWRAP agar pengiriman lebih aman, tebal dan kardus tidak penyok
✔ Semua yang kamu butuhin untuk Gift / kado buat orang tersayang, perlangkapan party, dkk ada di Giftee - One stop Gift Shop 🎁 yuk cek etalase kita ^ ^
GIFTEE, I GIFT YOU ❤"
Kotak Kado Gift Box Hadiah Souvenir Hampers 14x10x5 + tali,Rp2.300,"Kotak Kado / Kotak Souvenir / Gift Box 
dengan bahan kertas kraft coklat memiliki keunggulan dari segi warna nya yang terlihat unik dan terkesan klasik.
Spesifikasi :
1. Ukuran : P = 14cm , L = 10cm , T = 5cm
2. Bahan Kraft Tebal 275gsm
3. Termasuk Tali Goni
4. Min. Order 5pcs
PERHATIAN !!!
1. Tidak disarankan dipakai untuk packing penjualan online, karena bahan yg tidak terlalu tebal (bisa penyok jika tertekan / tertimpa barang berat)
2. Paper Box dikirim dalam keadaan belum dibentuk / dirakit (kita hanya menekuk / melipat box, sesuai garis lipatan yang sudah ada hingga menjadi box)"
Hampers Wedding / Kado Hadiah Gift Pernikahan / Handuk Besar 70x140,Rp109.900,"Wedding Hampers Paket Handuk Besar : Rp 159.000,00
Isi Hampers : Handuk mandi dewasa ukuran 70 x 140 cm, bahan lembut microfiber sebanyak 2 pcs dihias menggunakan pita cantik. 
Variasi Warna : 
- Biru
- Abu-abu 
- Toska
- Coklat 
- Pink
- Mix Warna : bisa 2 warna berbeda, ditulis di notes atau chat. Bisa handuk polos & polos. polos & motif, atau moyif &
Pengemasan : dikemas dengan eksklusif menggunakan box hampers motif dan pita.
Free Kartu ucapan. Bisa request untuk dituliskan nama pengirim dan penerima. 
Pengiriman : 
Hampers dikemas dengan dilapisi bubble wrap dan dibungkus plastik polymaire. 
Proses pengiriman diusahakan secepatnya atau maksimal H+2 setelah transaksi masuk. 
Bisa cek motif dan stok via chat dulu ya moms sebelum memesan. Bisa juga custom hampers sesuai keinginan dan budget yang ada.
Happy shopping ! Terima kasih :)"
